customer_city,unique_customers,total_orders,total_revenue,latitude,longitude,avg_order_value,avg_customer_value
abadia dos dourados,2,2,277.90999999999997,-18.474476487136112,-47.4078365252738,138.95499999999998,138.95499999999998
abadiania,1,1,1025.52,-16.193742416316265,-48.70952130337259,1025.52,1025.52
abaete,5,5,688.27,-19.158206495625077,-45.4463002987293,137.654,137.654
abaetetuba,7,7,3733.38,-1.7230241817101852,-48.88106537387817,533.34,533.34
abaiara,1,1,200.45,-7.358247021378397,-39.04581684412134,200.45,200.45
abaira,2,2,203.0,-13.25061237162442,-41.66388175580626,101.5,101.5
abare,1,1,58.25,-8.695825761079504,-39.1555267107371,58.25,58.25
abatia,1,1,69.32,-23.30452269862072,-50.31097243334825,69.32,69.32
abelardo luz,2,2,219.70999999999998,-26.565375356044346,-52.32532803924757,109.85499999999999,109.85499999999999
abrantes,1,1,200.35,-12.829740573799095,-38.2649856931729,200.35,200.35
abreu e lima,6,6,3965.62,-7.907583910534145,-34.90861487659287,660.9366666666666,660.9366666666666
acaiaca,1,1,162.9,-20.36291378049634,-43.14402222191236,162.9,162.9
acailandia,3,3,402.71000000000004,-4.945933764432744,-47.48449633404996,134.23666666666668,134.23666666666668
acajutiba,1,1,50.95,-11.663495576693935,-38.023852706144226,50.95,50.95
acarau,4,4,875.25,-2.8902381436643245,-40.110782071834926,218.8125,218.8125
acari,1,1,412.43,-6.436124915575116,-36.640335529330684,412.43,412.43
acegua,2,2,282.39,-31.764360480159297,-54.148548714573295,141.195,141.195
acopiara,5,5,805.35,-6.094117746073022,-39.44897848740864,161.07,161.07
acreuna,6,6,1429.13,-17.398332393161862,-50.373014769571675,238.18833333333336,238.18833333333336
acu,1,1,196.14,-5.578677546417205,-36.91480507328552,196.14,196.14
adamantina,21,21,3773.25,-21.684238907966446,-51.07601533556035,179.67857142857142,179.67857142857142
adolfo,2,2,102.78999999999999,-21.234456456293216,-49.64271564526813,51.394999999999996,51.394999999999996
adustina,1,1,102.27,-10.536616901316743,-38.11492053385937,102.27,102.27
afogados da ingazeira,4,4,928.9499999999999,-7.759829833939791,-37.560205074371495,232.23749999999998,232.23749999999998
afonso claudio,4,4,1132.76,-20.077877944999333,-41.12400269116063,283.19,283.19
afranio,2,2,448.03999999999996,,,224.01999999999998,224.01999999999998
