customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
000379cdec625522490c315e70c7a9fb,154,1,107.01,2,1,2,212,Need Attention
000419c5494106c306a97b5635748086,185,1,49.4,2,1,1,211,Need Attention
000598caf2ef4117407665ac33275130,23,1,1255.71,4,1,4,414,Potential Loyalists
0005aefbb696d34b3424dccd0a0e9fd0,75,1,147.33,3,1,3,313,Potential Loyalists
00066ccbe787a588c52bd5ff404590e3,209,1,1080.0,1,1,4,114,Need Attention
000fd45d6fedae68fc6676036610f879,141,1,66.81,2,1,2,212,Need Attention
001028b78fd413e19704b3867c369d3a,144,1,37.61,2,1,1,211,Need Attention
00104a47c29da701ce41ee52077587d9,232,1,100.34,1,1,2,112,Need Attention
001051abfcfdbed9f87b4266213a5df1,96,1,65.2,3,1,2,312,Recent Customers
0012a5c13793cf51e253f096a7e740dd,182,1,369.92,2,1,4,214,Need Attention
0013280441d86a4f7a8006efdaf1b0fe,239,1,162.15,1,1,3,113,Need Attention
0013cd8e350a7cc76873441e431dd5ee,119,1,92.6,3,1,2,312,Recent Customers
001450ebb4a77efb3d68be5f7887cb1e,190,1,122.66,1,1,3,113,Need Attention
00146ad30454993879adaa91c518f68c,238,1,221.79,1,1,4,114,Need Attention
0015bc9fd2d5395446143e8b215d7c75,84,1,132.19,3,1,3,313,Potential Loyalists
0017a0b4c1f1bdb9c395fa0ac517109c,184,1,50.01,2,1,1,211,Need Attention
0018c09f333634ca9c80d9ff46e43e9c,64,1,56.87,4,1,1,411,Recent Customers
0019c9aaad15b043c48f0a1180f22ce8,182,1,112.83,2,1,3,213,Need Attention
001a57041f56400917a187dd74e6cbc1,229,1,53.72,1,1,1,111,Need Attention
001b4e9b73aa98a6276b241bfd496822,150,1,82.87,2,1,2,212,Need Attention
001c7f05398c45b42eee0d5a77783bca,144,1,21.94,2,1,1,211,Need Attention
001df1ee5c36767aa607001ab1a13a06,29,1,42.86,4,1,1,411,Recent Customers
001f150aebb5d897f2059b0460c38449,117,1,125.97,3,1,3,313,Potential Loyalists
001f35d9f262c558fd065346fbf5801d,221,1,46.53,1,1,1,111,Need Attention
00205ad9ba1ef4340cef86583294cf82,114,1,928.7,3,1,4,314,Potential Loyalists
002236c4f333bc8df6a5939749eb7869,224,1,69.84,1,1,2,112,Need Attention
002348c1099e3229276c8ad7d4ddc702,236,1,249.56,1,1,4,114,Need Attention
002408f390f729598bbac1ef9421c6ae,236,1,258.01,1,1,4,114,Need Attention
002554bdf9eb99618d8189c3a89fdd52,21,1,244.08,4,1,4,414,Potential Loyalists
0026955706fd4e2fa997f3f4c18d485a,14,1,121.9,4,1,3,413,Potential Loyalists
0028ff36263a86bf679df7c863a0a0ba,144,1,74.94,2,1,2,212,Need Attention
002905287304e28c0218389269b4759b,43,1,31.7,4,1,1,411,Recent Customers
0029cdf064769cabdf3186b54d068c99,211,1,483.7,1,1,4,114,Need Attention
002a10e899b62a460b0116e0b68697ad,121,1,92.81,3,1,2,312,Recent Customers
002b24cb2cd0c3e575040dbd278885e3,105,1,40.22,3,1,1,311,Recent Customers
002ce108ccf0356ef5c8b1dce3c0ae29,89,1,185.6,3,1,3,313,Potential Loyalists
002d358e2462f87678443706cbf2eb21,215,1,45.61,1,1,1,111,Need Attention
002d597546b2cf44428232c9f237f873,43,1,117.74,4,1,3,413,Potential Loyalists
002ebb669a34b9e79c88efc755e95322,23,1,133.57,4,1,3,413,Potential Loyalists
002ef7e55600d44ead53f7c1644e5222,76,1,199.02,3,1,4,314,Potential Loyalists
002ff70a5285669011090c077ef929af,29,1,81.14,4,1,2,412,Recent Customers
00302a0b99783c3d1d1e81c616e321e8,161,1,159.48,2,1,3,213,Need Attention
00314f95a054231742e3c5396b333b88,238,1,59.34,1,1,1,111,Need Attention
003177b3eeca50af17750f53802c9a09,57,1,133.81,4,1,3,413,Potential Loyalists
0031abfb953b66e998f67b09e7b11375,223,1,1343.7,1,1,4,114,Need Attention
0034f7933de3ead6bd9ba49afe95f119,150,1,84.24,2,1,2,212,Need Attention
0035b30e58c620fa2bd30275ddd4f7ef,148,1,78.2,2,1,2,212,Need Attention
0036875772a8eeb391b8cd7226283fdd,225,1,61.85,1,1,1,111,Need Attention
00380c010de38d578d02117f6d0b88e7,187,1,64.1,2,1,2,212,Need Attention
0039b3e41ac6615814a0b44a8992bff5,236,1,34.59,1,1,1,111,Need Attention
003b595c764773e20e0949b6fba7b1dc,143,1,25.46,2,1,1,211,Need Attention
003bc8d06ebed9d146eb9f100d0a89ae,180,1,600.04,2,1,4,214,Need Attention
003c7cadba4f182b9f22d7d5ea7a5003,137,1,128.25,2,1,3,213,Need Attention
003cbe6a43560a8b6fd2c07531257c2d,214,1,27.75,1,1,1,111,Need Attention
003ec17a1389fa302f3a0423dddd8650,232,1,17.77,1,1,1,111,Need Attention
003f7d92ac63c512bb6584219806f8df,201,1,84.91,1,1,2,112,Need Attention
0040a8417928d0d5abd5169cd7877181,68,1,219.49,4,1,4,414,Potential Loyalists
0041d7b768cb115092fa0f5d55638d06,177,1,81.32,2,1,2,212,Need Attention
004440537b68545ca3c341d7279bc4c0,6,1,196.08,4,1,4,414,Potential Loyalists
00447b6bd39c4a0f6366b05948f9e2e3,70,1,303.79,3,1,4,314,Potential Loyalists
00459c4eb23e40414ca067d06fa303d4,119,1,87.94,3,1,2,312,Recent Customers
0045ac1c0957bc92e109f71e4941fa49,65,1,152.47,4,1,3,413,Potential Loyalists
004937d0f9d6ce15c2830c00c2f482e5,219,1,70.91,1,1,2,112,Need Attention
00498d14e21c58ed2feb5d5feb4cd706,234,1,106.87,1,1,2,112,Need Attention
